race,decile_score,high_risk,two_year_recid
African-American,2,0,0
Caucasian,4,0,1
Caucasian,2,0,1
African-American,7,1,1
Caucasian,3,0,1
African-American,2,0,0
Caucasian,2,0,1
African-American,10,1,0
Caucasian,1,0,0
African-American,8,1,1
African-American,6,1,1
African-American,5,1,1
African-American,3,0,1
African-American,9,1,1
African-American,9,1,1
African-American,6,1,0
Caucasian,6,1,0
African-American,1,0,1
Other,7,1,1
Hispanic,1,0,0
African-American,10,1,1
Hispanic,4,0,0
African-American,4,0,1
Caucasian,4,0,0
Caucasian,7,1,1
African-American,7,1,0
Caucasian,2,0,0
African-American,2,0,0
Caucasian,1,0,1
Caucasian,5,1,0
African-American,2,0,1
Hispanic,3,0,0
African-American,7,1,0
Hispanic,1,0,0
African-American,4,0,0
Hispanic,9,1,1
African-American,6,1,1
Hispanic,1,0,0
Hispanic,2,0,0
Caucasian,1,0,1
Caucasian,1,0,0
Other,2,0,0
African-American,5,1,1
African-American,8,1,1
African-American,2,0,1
Hispanic,1,0,0
African-American,1,0,0
Caucasian,4,0,1
African-American,9,1,1
Caucasian,4,0,1
African-American,9,1,1
Caucasian,3,0,0
African-American,3,0,1
African-American,2,0,0
African-American,4,0,0
Other,3,0,1
Caucasian,1,0,0
Caucasian,3,0,0
Caucasian,4,0,0
African-American,9,1,1
Other,5,1,1
African-American,10,1,1
African-American,2,0,0
African-American,8,1,0
Caucasian,9,1,1
African-American,1,0,0
African-American,9,1,0
Caucasian,1,0,1
African-American,9,1,0
African-American,5,1,0
Caucasian,1,0,1
Caucasian,2,0,0
Other,1,0,1
African-American,1,0,0
Caucasian,3,0,1
African-American,7,1,0
African-American,6,1,0
African-American,10,1,1
African-American,1,0,0
Other,4,0,1
African-American,9,1,0
African-American,9,1,0
African-American,1,0,0
Caucasian,1,0,0
Caucasian,4,0,1
African-American,4,0,0
Caucasian,1,0,0
African-American,9,1,1
Caucasian,5,1,0
African-American,4,0,0
African-American,2,0,0
Hispanic,4,0,0
Caucasian,8,1,1
Caucasian,2,0,1
African-American,9,1,0
Caucasian,1,0,0
African-American,8,1,1
Caucasian,5,1,1
African-American,3,0,0
Caucasian,8,1,1
Other,1,0,0
Other,2,0,0
Hispanic,2,0,0
Hispanic,6,1,1
Caucasian,5,1,1
Hispanic,8,1,0
African-American,3,0,0
African-American,8,1,1
African-American,6,1,1
Other,1,0,0
African-American,4,0,0
African-American,1,0,0
African-American,8,1,0
Hispanic,7,1,0
African-American,1,0,0
African-American,4,0,1
African-American,2,0,0
Caucasian,5,1,0
Caucasian,6,1,1
African-American,7,1,1
African-American,10,1,1
Caucasian,3,0,0
African-American,3,0,0
Other,2,0,0
African-American,6,1,1
African-American,1,0,0
Caucasian,1,0,0
Caucasian,1,0,0
Caucasian,4,0,0
African-American,9,1,1
African-American,8,1,1
Hispanic,1,0,1
Caucasian,4,0,0
African-American,4,0,0
Caucasian,5,1,1
African-American,4,0,1
African-American,3,0,1
Other,3,0,0
Caucasian,3,0,0
African-American,6,1,0
African-American,8,1,1
Caucasian,1,0,0
Caucasian,3,0,0
Other,2,0,1
African-American,1,0,0
Hispanic,3,0,0
African-American,1,0,0
Caucasian,1,0,1
Caucasian,3,0,1
Caucasian,2,0,0
Other,10,1,1
African-American,2,0,0
African-American,10,1,1
Caucasian,1,0,0
Caucasian,1,0,0
African-American,9,1,0
African-American,9,1,1
Caucasian,5,1,0
African-American,9,1,1
Caucasian,6,1,1
Caucasian,3,0,1
Hispanic,5,1,0
African-American,7,1,0
Caucasian,4,0,1
Hispanic,3,0,0
Caucasian,5,1,0
African-American,8,1,1
Caucasian,3,0,0
African-American,3,0,0
Other,2,0,1
African-American,1,0,0
Caucasian,6,1,0
Hispanic,1,0,0
African-American,9,1,1
African-American,6,1,0
African-American,3,0,0
Caucasian,1,0,0
African-American,10,1,1
Hispanic,8,1,0
Other,1,0,0
Caucasian,6,1,0
Caucasian,1,0,0
Caucasian,6,1,0
African-American,10,1,1
Caucasian,4,0,0
African-American,5,1,1
African-American,5,1,0
African-American,4,0,0
Caucasian,1,0,0
African-American,10,1,1
Other,4,0,0
Hispanic,3,0,0
Caucasian,4,0,0
African-American,3,0,0
Caucasian,6,1,1
African-American,9,1,1
African-American,5,1,1
Caucasian,1,0,0
Caucasian,1,0,1
Caucasian,7,1,1
African-American,8,1,1
Caucasian,1,0,0
African-American,4,0,0
African-American,1,0,0
African-American,3,0,0
African-American,8,1,1
African-American,9,1,1
Caucasian,7,1,0
African-American,9,1,1
African-American,5,1,0
African-American,1,0,0
African-American,4,0,0
Caucasian,8,1,1
Caucasian,1,0,0
African-American,8,1,1
African-American,9,1,0
Caucasian,3,0,0
Hispanic,2,0,0
African-American,7,1,1
African-American,5,1,0
African-American,9,1,1
Caucasian,2,0,0
African-American,3,0,0
African-American,8,1,1
Caucasian,1,0,1
African-American,2,0,0
Other,1,0,0
Hispanic,3,0,0
Caucasian,6,1,0
Caucasian,1,0,0
African-American,7,1,0
African-American,6,1,0
Caucasian,2,0,1
Hispanic,3,0,0
Caucasian,3,0,0
Caucasian,1,0,0
African-American,3,0,1
Caucasian,5,1,1
African-American,6,1,1
Other,1,0,0
African-American,7,1,1
Caucasian,6,1,1
African-American,7,1,1
African-American,7,1,0
Hispanic,1,0,1
Caucasian,4,0,0
African-American,5,1,1
Caucasian,1,0,0
African-American,4,0,0
Caucasian,8,1,1
Caucasian,1,0,0
African-American,6,1,0
African-American,10,1,1
Caucasian,10,1,1
Caucasian,1,0,0
Caucasian,5,1,0
Caucasian,1,0,0
Hispanic,5,1,1
African-American,10,1,1
African-American,2,0,1
Caucasian,1,0,0
African-American,2,0,0
African-American,1,0,0
African-American,3,0,0
Caucasian,1,0,0
African-American,10,1,1
Caucasian,1,0,1
Other,8,1,1
African-American,8,1,1
African-American,6,1,1
African-American,5,1,1
Caucasian,5,1,1
Caucasian,4,0,1
African-American,3,0,1
African-American,9,1,1
African-American,10,1,0
Caucasian,1,0,0
African-American,1,0,0
African-American,6,1,0
African-American,9,1,1
African-American,7,1,1
African-American,9,1,1
African-American,1,0,0
African-American,6,1,1
Caucasian,5,1,1
African-American,2,0,0
African-American,10,1,1
Caucasian,1,0,0
Hispanic,10,1,0
Caucasian,2,0,0
Caucasian,1,0,0
Caucasian,6,1,1
Caucasian,1,0,0
Hispanic,1,0,1
Caucasian,1,0,1
Asian,6,1,0
Hispanic,1,0,0
Hispanic,4,0,0
Caucasian,9,1,1
Caucasian,9,1,1
Asian,7,1,1
African-American,2,0,0
Caucasian,2,0,0
Caucasian,4,0,1
African-American,1,0,0
African-American,4,0,1
Caucasian,1,0,0
African-American,5,1,0
Caucasian,3,0,1
Hispanic,5,1,1
Hispanic,3,0,0
African-American,6,1,1
Caucasian,5,1,0
Caucasian,1,0,0
Caucasian,2,0,0
Caucasian,3,0,0
Other,5,1,0
African-American,2,0,0
Caucasian,1,0,0
Hispanic,4,0,0
Other,1,0,0
African-American,3,0,0
African-American,4,0,0
Other,1,0,0
African-American,7,1,1
African-American,5,1,1
Caucasian,2,0,0
Caucasian,7,1,1
African-American,5,1,0
African-American,4,0,1
Caucasian,4,0,1
Caucasian,2,0,0
Caucasian,9,1,0
Caucasian,4,0,0
African-American,3,0,1
African-American,2,0,0
African-American,4,0,1
Caucasian,1,0,1
Caucasian,3,0,1
Other,1,0,0
Caucasian,3,0,0
Hispanic,10,1,0
African-American,7,1,0
African-American,7,1,1
Caucasian,10,1,1
Hispanic,6,1,1
Caucasian,1,0,0
African-American,9,1,1
Hispanic,1,0,1
Caucasian,6,1,1
African-American,3,0,0
Caucasian,2,0,0
African-American,5,1,0
African-American,6,1,0
African-American,6,1,0
Other,1,0,0
African-American,3,0,1
African-American,5,1,1
Caucasian,1,0,0
African-American,7,1,1
African-American,3,0,0
African-American,1,0,0
Caucasian,6,1,0
African-American,8,1,1
African-American,3,0,0
African-American,5,1,0
Caucasian,4,0,1
Caucasian,4,0,0
Hispanic,8,1,0
African-American,4,0,1
Caucasian,3,0,0
African-American,2,0,1
Caucasian,1,0,0
African-American,7,1,0
Hispanic,6,1,0
African-American,3,0,0
Hispanic,1,0,0
Caucasian,1,0,1
Caucasian,1,0,1
Caucasian,1,0,1
Caucasian,1,0,0
African-American,6,1,1
Caucasian,3,0,0
Caucasian,4,0,0
Other,6,1,1
Hispanic,1,0,0
Other,2,0,0
African-American,3,0,0
Caucasian,7,1,0
African-American,2,0,0
Hispanic,2,0,1
Hispanic,1,0,0
Caucasian,5,1,0
African-American,3,0,0
African-American,8,1,1
African-American,7,1,1
African-American,2,0,0
African-American,10,1,1
African-American,1,0,0
Hispanic,10,1,1
African-American,7,1,0
Caucasian,6,1,1
Caucasian,1,0,0
Caucasian,1,0,0
African-American,7,1,1
Caucasian,1,0,0
African-American,8,1,1
African-American,5,1,1
Caucasian,1,0,0
Caucasian,2,0,1
African-American,3,0,0
African-American,3,0,1
Caucasian,10,1,0
African-American,5,1,0
Caucasian,10,1,1
African-American,1,0,0
African-American,1,0,0
African-American,6,1,1
Hispanic,2,0,0
African-American,9,1,1
Caucasian,7,1,1
Caucasian,9,1,0
Caucasian,5,1,0
Caucasian,5,1,1
African-American,1,0,0
African-American,9,1,1
Caucasian,3,0,1
Other,9,1,0
African-American,2,0,1
Caucasian,4,0,1
African-American,3,0,0
African-American,8,1,0
African-American,2,0,0
African-American,8,1,1
African-American,6,1,0
Caucasian,6,1,0
Caucasian,2,0,1
African-American,8,1,1
African-American,4,0,1
African-American,7,1,1
Caucasian,1,0,1
African-American,10,1,1
African-American,9,1,0
African-American,7,1,0
African-American,9,1,1
Hispanic,6,1,1
African-American,2,0,1
African-American,4,0,0
African-American,3,0,0
Caucasian,1,0,0
Hispanic,1,0,0
African-American,5,1,0
African-American,4,0,0
Other,9,1,1
Other,1,0,0
African-American,1,0,0
Caucasian,3,0,0
African-American,2,0,0
African-American,7,1,1
African-American,9,1,1
African-American,9,1,0
Caucasian,2,0,0
Caucasian,9,1,1
Hispanic,9,1,1
African-American,10,1,1
African-American,4,0,0
Asian,6,1,1
Caucasian,1,0,1
African-American,7,1,0
African-American,5,1,0
African-American,8,1,1
Caucasian,1,0,0
African-American,2,0,1
Caucasian,5,1,1
African-American,7,1,1
African-American,4,0,0
African-American,6,1,0
African-American,1,0,0
African-American,1,0,0
African-American,3,0,0
African-American,6,1,1
African-American,8,1,1
Caucasian,2,0,0
Caucasian,3,0,1
Caucasian,1,0,0
African-American,1,0,0
Hispanic,4,0,0
Caucasian,8,1,0
African-American,5,1,1
African-American,8,1,1
African-American,1,0,0
African-American,5,1,0
Caucasian,2,0,1
Caucasian,1,0,0
Caucasian,1,0,1
Hispanic,10,1,0
Caucasian,2,0,0
Caucasian,2,0,1
Caucasian,1,0,0
Caucasian,3,0,0
Hispanic,3,0,0
African-American,8,1,0
Caucasian,1,0,0
Caucasian,4,0,1
African-American,4,0,1
African-American,10,1,1
African-American,6,1,0
African-American,9,1,1
African-American,8,1,0
African-American,2,0,0
African-American,3,0,0
African-American,9,1,0
African-American,7,1,1
African-American,2,0,0
Caucasian,5,1,0
Other,1,0,0
Caucasian,5,1,1
African-American,10,1,1
Caucasian,1,0,0
African-American,5,1,1
African-American,9,1,0
African-American,1,0,0
African-American,9,1,0
African-American,5,1,0
African-American,5,1,1
African-American,5,1,0
African-American,5,1,1
African-American,7,1,1
African-American,10,1,1
Other,4,0,1
Other,10,1,0
Caucasian,8,1,1
African-American,2,0,0
Native American,7,1,0
African-American,1,0,0
African-American,7,1,0
African-American,7,1,1
African-American,6,1,0
Other,4,0,0
African-American,9,1,1
African-American,4,0,0
Other,2,0,1
Hispanic,2,0,0
African-American,2,0,0
African-American,6,1,1
Caucasian,2,0,0
Caucasian,1,0,0
African-American,2,0,0
African-American,5,1,0
Caucasian,4,0,1
Caucasian,9,1,1
Caucasian,4,0,1
African-American,6,1,0
Caucasian,7,1,0
Other,1,0,0
African-American,7,1,0
Caucasian,1,0,0
African-American,9,1,1
Caucasian,3,0,0
African-American,5,1,1
African-American,9,1,1
Other,4,0,0
African-American,1,0,0
Other,1,0,0
Caucasian,4,0,0
African-American,5,1,1
African-American,2,0,0
Hispanic,1,0,0
Caucasian,6,1,0
African-American,2,0,1
African-American,2,0,0
African-American,3,0,0
Other,7,1,0
African-American,10,1,1
African-American,1,0,1
African-American,6,1,0
African-American,3,0,0
Caucasian,4,0,0
African-American,7,1,1
African-American,5,1,0
Caucasian,3,0,1
African-American,8,1,1
African-American,10,1,0
Caucasian,3,0,1
Other,1,0,1
Caucasian,1,0,0
Caucasian,4,0,0
African-American,6,1,1
African-American,3,0,0
Caucasian,2,0,0
African-American,8,1,1
Other,1,0,0
Other,3,0,1
African-American,8,1,0
African-American,8,1,1
African-American,10,1,1
African-American,7,1,1
African-American,8,1,1
Caucasian,4,0,1
African-American,7,1,1
African-American,2,0,0
Caucasian,1,0,0
African-American,4,0,1
African-American,4,0,0
African-American,5,1,1
Other,2,0,0
Caucasian,1,0,0
African-American,7,1,1
Caucasian,7,1,1
Caucasian,2,0,1
African-American,8,1,0
African-American,9,1,1
Caucasian,4,0,1
African-American,8,1,1
Caucasian,2,0,0
African-American,5,1,1
Caucasian,4,0,0
Caucasian,1,0,0
African-American,9,1,0
Caucasian,5,1,0
African-American,3,0,1
African-American,8,1,0
African-American,4,0,1
Caucasian,6,1,0
African-American,9,1,1
African-American,8,1,1
African-American,4,0,0
African-American,8,1,1
Other,1,0,0
African-American,3,0,0
Caucasian,2,0,0
African-American,1,0,0
African-American,9,1,0
African-American,2,0,0
Caucasian,8,1,1
Caucasian,4,0,0
African-American,10,1,1
Other,3,0,1
African-American,3,0,0
Caucasian,1,0,0
African-American,7,1,0
Hispanic,6,1,1
African-American,2,0,0
Caucasian,4,0,1
African-American,5,1,0
Caucasian,3,0,1
African-American,5,1,0
Hispanic,1,0,0
African-American,7,1,1
Caucasian,10,1,1
Caucasian,1,0,1
Hispanic,1,0,0
Hispanic,2,0,0
African-American,6,1,1
African-American,1,0,1
African-American,3,0,1
Hispanic,1,0,1
Caucasian,1,0,0
African-American,2,0,1
Caucasian,4,0,0
Caucasian,1,0,0
Caucasian,2,0,0
Hispanic,2,0,0
Hispanic,5,1,0
African-American,7,1,1
African-American,7,1,1
African-American,2,0,1
African-American,2,0,0
Caucasian,5,1,0
African-American,2,0,1
Caucasian,1,0,1
African-American,1,0,1
African-American,9,1,1
African-American,10,1,1
African-American,9,1,0
Caucasian,3,0,0
African-American,1,0,0
African-American,7,1,1
African-American,2,0,0
Hispanic,1,0,0
Hispanic,1,0,0
Hispanic,3,0,0
Caucasian,1,0,0
Hispanic,2,0,1
African-American,9,1,1
African-American,7,1,0
African-American,10,1,1
Hispanic,4,0,0
Caucasian,5,1,0
African-American,8,1,0
African-American,2,0,1
African-American,7,1,1
Caucasian,6,1,0
Caucasian,4,0,0
African-American,5,1,1
African-American,5,1,1
African-American,7,1,1
Caucasian,1,0,0
Caucasian,1,0,0
Caucasian,3,0,0
Caucasian,5,1,1
African-American,1,0,0
African-American,6,1,1
Caucasian,3,0,0
Hispanic,7,1,1
African-American,6,1,1
Hispanic,1,0,0
African-American,8,1,1
African-American,7,1,1
African-American,5,1,1
Caucasian,5,1,1
African-American,4,0,1
African-American,4,0,0
African-American,1,0,1
African-American,1,0,0
African-American,7,1,0
African-American,1,0,0
Caucasian,9,1,1
African-American,7,1,1
Hispanic,3,0,0
African-American,4,0,1
African-American,4,0,0
African-American,7,1,1
Caucasian,4,0,0
African-American,10,1,1
Caucasian,1,0,0
African-American,8,1,1
African-American,3,0,0
Hispanic,1,0,0
African-American,2,0,0
African-American,5,1,1
African-American,4,0,0
Hispanic,3,0,1
Caucasian,6,1,0
African-American,7,1,0
African-American,4,0,0
Hispanic,1,0,0
Hispanic,5,1,1
Hispanic,1,0,0
African-American,6,1,0
African-American,6,1,0
Hispanic,7,1,1
Caucasian,3,0,0
African-American,5,1,0
African-American,10,1,0
African-American,7,1,1
African-American,10,1,1
African-American,5,1,0
African-American,9,1,1
Caucasian,1,0,0
Hispanic,1,0,0
Hispanic,1,0,1
African-American,1,0,0
Caucasian,4,0,0
Hispanic,2,0,1
Hispanic,3,0,0
African-American,1,0,0
African-American,5,1,1
Other,2,0,1
African-American,7,1,1
Caucasian,1,0,0
African-American,2,0,0
African-American,3,0,1
African-American,8,1,1
African-American,1,0,0
Caucasian,1,0,0
Caucasian,4,0,0
Other,2,0,0
Caucasian,1,0,0
African-American,10,1,1
African-American,1,0,1
Caucasian,1,0,0
African-American,5,1,0
African-American,10,1,1
African-American,3,0,1
African-American,1,0,0
Caucasian,1,0,0
Caucasian,2,0,1
African-American,2,0,0
African-American,5,1,1
Hispanic,3,0,0
African-American,8,1,0
African-American,7,1,1
Caucasian,6,1,1
African-American,3,0,0
African-American,3,0,0
Caucasian,1,0,0
Other,1,0,0
Caucasian,1,0,0
African-American,3,0,0
African-American,7,1,0
African-American,8,1,1
African-American,10,1,1
African-American,3,0,1
African-American,5,1,0
Caucasian,5,1,0
Caucasian,3,0,1
African-American,10,1,1
Caucasian,1,0,0
African-American,1,0,0
African-American,3,0,1
Hispanic,4,0,0
Caucasian,1,0,0
Caucasian,6,1,0
Caucasian,4,0,0
African-American,6,1,1
Hispanic,1,0,0
Caucasian,1,0,0
African-American,3,0,1
Caucasian,1,0,0
Caucasian,5,1,0
African-American,2,0,1
Hispanic,2,0,0
African-American,1,0,0
Hispanic,1,0,0
African-American,10,1,1
Caucasian,8,1,0
Caucasian,5,1,1
African-American,9,1,0
Caucasian,10,1,1
African-American,6,1,1
African-American,8,1,0
Caucasian,2,0,0
African-American,2,0,0
Caucasian,1,0,0
Caucasian,7,1,0
Hispanic,6,1,1
African-American,5,1,1
Caucasian,1,0,1
Caucasian,10,1,0
Caucasian,1,0,0
Other,5,1,0
Caucasian,3,0,0
Caucasian,2,0,0
African-American,3,0,1
African-American,9,1,1
African-American,5,1,1
African-American,2,0,0
African-American,9,1,1
Caucasian,2,0,0
Caucasian,1,0,0
African-American,6,1,1
African-American,6,1,1
African-American,9,1,1
African-American,1,0,1
African-American,1,0,0
African-American,2,0,1
African-American,4,0,0
Caucasian,7,1,0
Caucasian,1,0,0
African-American,7,1,0
African-American,9,1,0
Other,4,0,1
Caucasian,3,0,1
Caucasian,1,0,0
Caucasian,3,0,1
Caucasian,7,1,0
Caucasian,1,0,0
African-American,7,1,0
Caucasian,1,0,0
Caucasian,5,1,1
Caucasian,4,0,0
African-American,1,0,0
African-American,2,0,1
Hispanic,3,0,1
Caucasian,2,0,0
African-American,9,1,1
African-American,5,1,0
Caucasian,3,0,0
Hispanic,4,0,0
African-American,9,1,0
African-American,5,1,0
Hispanic,10,1,1
African-American,8,1,1
Native American,9,1,0
African-American,2,0,0
Hispanic,6,1,0
African-American,3,0,1
African-American,9,1,1
African-American,5,1,0
African-American,3,0,0
Caucasian,4,0,0
African-American,5,1,1
Caucasian,5,1,1
Other,4,0,1
Hispanic,1,0,0
Native American,2,0,0
Caucasian,10,1,1
African-American,4,0,1
Other,6,1,0
African-American,1,0,0
Caucasian,3,0,0
Caucasian,3,0,1
Hispanic,1,0,0
Caucasian,5,1,0
African-American,10,1,1
Asian,3,0,0
Caucasian,4,0,0
Caucasian,3,0,0
Hispanic,2,0,1
Caucasian,6,1,1
African-American,2,0,0
African-American,1,0,0
Caucasian,2,0,1
African-American,6,1,1
African-American,6,1,1
African-American,7,1,1
Caucasian,4,0,0
African-American,4,0,0
African-American,3,0,0
Caucasian,6,1,1
African-American,8,1,1
African-American,2,0,1
African-American,6,1,1
African-American,2,0,0
Caucasian,1,0,0
Hispanic,2,0,0
African-American,9,1,0
Caucasian,1,0,0
African-American,3,0,0
African-American,8,1,1
African-American,1,0,0
Caucasian,4,0,0
African-American,5,1,1
African-American,9,1,0
Other,10,1,1
Hispanic,1,0,0
Other,4,0,0
African-American,3,0,0
African-American,5,1,0
African-American,4,0,1
Caucasian,8,1,0
African-American,2,0,1
African-American,10,1,1
Caucasian,7,1,1
Hispanic,1,0,0
Caucasian,1,0,1
African-American,4,0,0
Other,1,0,0
Caucasian,4,0,0
African-American,3,0,1
Caucasian,10,1,1
Caucasian,2,0,0
Caucasian,1,0,1
African-American,4,0,0
African-American,5,1,0
African-American,8,1,1
Caucasian,3,0,0
Caucasian,1,0,1
Caucasian,6,1,1
African-American,10,1,1
Other,1,0,0
Caucasian,2,0,0
African-American,3,0,1
Hispanic,9,1,0
Hispanic,5,1,1
Caucasian,3,0,0
Caucasian,1,0,0
Caucasian,5,1,0
Caucasian,2,0,1
African-American,1,0,0
Caucasian,1,0,0
African-American,3,0,1
African-American,2,0,0
Caucasian,1,0,0
Hispanic,5,1,0
African-American,3,0,0
African-American,6,1,0
Other,2,0,1
Caucasian,1,0,1
Hispanic,1,0,0
Hispanic,2,0,1
Caucasian,1,0,0
Caucasian,8,1,1
African-American,9,1,1
Hispanic,5,1,0
African-American,2,0,0
Other,2,0,0
African-American,5,1,0
Caucasian,2,0,0
African-American,1,0,0
Asian,1,0,0
Caucasian,5,1,1
Asian,1,0,0
African-American,1,0,0
Caucasian,2,0,0
African-American,1,0,1
Caucasian,7,1,1
Caucasian,10,1,1
Caucasian,1,0,1
African-American,1,0,0
Caucasian,5,1,0
African-American,8,1,1
African-American,4,0,1
African-American,3,0,0
Caucasian,2,0,0
Hispanic,7,1,0
Other,1,0,0
Caucasian,5,1,0
African-American,2,0,1
African-American,7,1,1
African-American,3,0,0
Caucasian,2,0,0
African-American,4,0,1
African-American,2,0,0
Other,3,0,0
Hispanic,4,0,0
African-American,1,0,0
Other,2,0,0
Caucasian,3,0,0
African-American,10,1,1
Caucasian,7,1,1
Caucasian,1,0,0
African-American,7,1,0
Caucasian,2,0,0
African-American,9,1,0
African-American,4,0,0
African-American,9,1,1
African-American,7,1,1
Hispanic,1,0,0
African-American,2,0,1
African-American,4,0,0
Hispanic,9,1,0
African-American,6,1,1
Caucasian,2,0,0
Caucasian,4,0,0
African-American,3,0,0
African-American,8,1,0
African-American,9,1,1
Other,1,0,0
Caucasian,6,1,0
African-American,10,1,1
African-American,7,1,0
Caucasian,5,1,1
African-American,2,0,0
African-American,8,1,1
African-American,6,1,1
African-American,1,0,0
African-American,4,0,0
Caucasian,2,0,0
African-American,4,0,0
Caucasian,1,0,0
Caucasian,6,1,1
Caucasian,1,0,0
African-American,2,0,0
Caucasian,1,0,0
Caucasian,2,0,1
African-American,4,0,1
Hispanic,1,0,0
African-American,7,1,1
Hispanic,7,1,0
Caucasian,5,1,0
African-American,9,1,0
African-American,2,0,0
African-American,9,1,1
Caucasian,1,0,0
African-American,5,1,0
African-American,4,0,0
Caucasian,6,1,1
Caucasian,3,0,0
African-American,3,0,1
African-American,4,0,0
Caucasian,1,0,1
African-American,8,1,0
Other,1,0,1
Other,4,0,1
African-American,9,1,0
African-American,10,1,1
Caucasian,1,0,0
Caucasian,2,0,1
Caucasian,4,0,1
African-American,2,0,0
African-American,10,1,1
African-American,1,0,1
African-American,8,1,1
Caucasian,4,0,1
African-American,2,0,0
African-American,8,1,1
Other,6,1,0
Caucasian,5,1,1
African-American,3,0,1
Caucasian,1,0,0
Caucasian,3,0,0
African-American,4,0,0
Caucasian,2,0,0
African-American,1,0,1
African-American,8,1,1
Hispanic,3,0,0
Caucasian,4,0,0
African-American,8,1,0
African-American,7,1,0
Caucasian,3,0,1
African-American,4,0,1
African-American,1,0,0
Other,2,0,1
African-American,9,1,1
African-American,6,1,1
African-American,1,0,0
Caucasian,5,1,1
Caucasian,2,0,1
African-American,3,0,1
Caucasian,3,0,1
African-American,3,0,0
African-American,6,1,1
African-American,2,0,0
Caucasian,1,0,0
Caucasian,1,0,0
African-American,6,1,0
African-American,7,1,0
African-American,6,1,1
African-American,7,1,1
Hispanic,3,0,1
African-American,7,1,1
African-American,5,1,1
African-American,2,0,0
Caucasian,4,0,0
African-American,2,0,0
African-American,4,0,1
Caucasian,2,0,1
African-American,1,0,0
Other,1,0,0
Caucasian,6,1,0
Caucasian,6,1,1
African-American,4,0,1
African-American,9,1,1
Caucasian,8,1,1
Hispanic,1,0,0
Caucasian,7,1,0
African-American,1,0,1
African-American,7,1,0
Caucasian,7,1,0
African-American,9,1,1
Caucasian,8,1,0
African-American,8,1,0
African-American,10,1,1
African-American,9,1,0
African-American,10,1,1
Other,1,0,0
Caucasian,3,0,0
Caucasian,6,1,1
African-American,3,0,0
African-American,1,0,0
African-American,3,0,1
Native American,3,0,0
Caucasian,7,1,0
Caucasian,4,0,1
Other,1,0,0
Caucasian,9,1,1
Caucasian,1,0,1
African-American,7,1,0
Hispanic,1,0,1
African-American,10,1,1
Caucasian,1,0,0
African-American,3,0,0
Hispanic,4,0,0
African-American,9,1,1
Caucasian,10,1,1
African-American,2,0,1
Caucasian,1,0,0
Caucasian,1,0,0
Caucasian,2,0,0
Caucasian,3,0,0
Caucasian,8,1,1
Caucasian,7,1,1
Caucasian,6,1,1
Caucasian,1,0,0
Caucasian,1,0,0
Caucasian,7,1,0
Hispanic,6,1,1
African-American,2,0,0
Other,2,0,1
Caucasian,1,0,0
African-American,5,1,1
Caucasian,5,1,1
African-American,4,0,1
African-American,6,1,1
African-American,7,1,0
Hispanic,3,0,1
African-American,8,1,0
African-American,9,1,1
